"type.keyword: Descending","publisher.keyword: Descending","short-container-title.keyword: Descending",Count
"journal-article",Wiley,"J Med Virol",49
"journal-article",Wiley,"Transbound Emerg Dis",19
"journal-article",Wiley,"Influenza Other Respi Viruses",13
"journal-article",Wiley,"Am J Transplant",6
"journal-article",Wiley,"Int J Clin Pract",4
"journal-article",Wiley,"Zoonoses Public Health",4
"journal-article",Wiley,"Acad Emerg Med",3
"journal-article",Wiley,Cytometry,3
"journal-article",Wiley,"FASEB j.",3
"journal-article",Wiley,"Pediatric Pulmonology",3
"journal-article",Wiley,Transfusion,3
"journal-article",Wiley,"Ultrasound Obstet Gynecol",3
"journal-article",Wiley,"Acta Obstet Gynecol Scand",2
"journal-article",Wiley,"Acta Ophthalmol",2
"journal-article",Wiley,Allergy,2
"journal-article",Wiley,"Am J Hematol",2
"journal-article",Wiley,"Br J Haematol",2
"journal-article",Wiley,"Dermatologic Therapy",2
"journal-article",Wiley,"Eur J Clin Invest",2
"journal-article",Wiley,"FEBS J",2
"journal-article",Wiley,"J Am Geriatr Soc",2
"journal-article",Wiley,"J Evid Based Med.",2
"journal-article",Wiley,"J. Med. Virol.",2
"journal-article",Wiley,"J. Pathol.",2
"journal-article",Wiley,"Journal of the American College of Emergency Physicians Open",2
"journal-article",Wiley,"Psychiatry Clin. Neurosci.",2
"journal-article",Wiley,"Risk Analysis",2
"journal-article",Wiley,"Adv. Funct. Mater.",1
"journal-article",Wiley,"BJOG: Int J Obstet Gy",1
"journal-article",Wiley,"Br J Dermatol",1
"journal-article",Wiley,"Br J Surg",1
"journal-article",Wiley,"Chem Biol Drug Des",1
"journal-article",Wiley,"Drug Dev Res",1
"journal-article",Wiley,"Equine Vet Educ",1
"journal-article",Wiley,"Eur J Haematol",1
"journal-article",Wiley,"Eur. J. Immunol.",1
"journal-article",Wiley,"Health Promot J Austral",1
"journal-article",Wiley,"Health Sci Rep",1
"journal-article",Wiley,Histopathology,1
"journal-article",Wiley,Immunology,1
"journal-article",Wiley,"Indoor Air",1
"journal-article",Wiley,"Influenza Other Respir Viruses",1
"journal-article",Wiley,"Int J Gynecol Obstet",1
"journal-article",Wiley,"J Arrhythmia",1
"journal-article",Wiley,"J Clin Nurs",1
"journal-article",Wiley,"J Thromb Haemost",1
"journal-article",Wiley,"J Ultrasound Med",1
"journal-article",Wiley,"J Vet Intern Med",1
"journal-article",Wiley,"Journal of Diabetes",1
"journal-article",Wiley,"Journal of Injury, Function and Rehabilitation",1
"journal-article",Wiley,"Lett Appl Microbiol",1
"journal-article",Wiley,"Liver Int",1
"journal-article",Wiley,"Microb. Biotechnol.",1
"journal-article",Wiley,"Microbiol Immunol",1
"journal-article",Wiley,"Pediatr Invest",1
"journal-article",Wiley,Respirology,1
"journal-article",Wiley,"Rev Med Virol",1
"journal-article",Wiley,"Rev. Med. Virol.",1
"journal-article",Wiley,"Trop Med Int Health",1
"journal-article",Wiley,"Vox Sang",1
"journal-article","Oxford University Press (OUP)","Pathogens Disease",1
"journal-article","American Society for Microbiology",mBio,19
"journal-article","Informa UK Limited","Emerging Microbes & Infections",25
"journal-article","Informa UK Limited","Human Vaccines & Immunotherapeutics",4
"journal-article","Informa UK Limited","Avian Pathology",2
"journal-article","Informa UK Limited",Anatolia,1
"journal-article","Informa UK Limited","Baylor University Medical Center Proceedings",1
"journal-article","Informa UK Limited","Infection Ecology & Epidemiology",1
"journal-article","Informa UK Limited","Infectious Diseases",1
"journal-article","Informa UK Limited","Journal of Dermatological Treatment",1
"journal-article","Informa UK Limited","Journal of Enzyme Inhibition and Medicinal Chemistry",1
"journal-article","Informa UK Limited","Journal of Histotechnology",1
"journal-article","Informa UK Limited","Journal of Interdisciplinary Mathematics",1
"journal-article","Informa UK Limited","Ocular Immunology and Inflammation",1
"journal-article","Informa UK Limited","Sexual and Reproductive Health Matters",1
"journal-article","Informa UK Limited","Sustainability: Science, Practice and Policy",1
"journal-article","Informa UK Limited","The Round Table",1
"journal-article","Informa UK Limited","Tourism Recreation Research",1
"journal-article","Informa UK Limited","Veterinary Quarterly",1
"journal-article","Centers for Disease Control and Prevention (CDC)","Emerg. Infect. Dis.",41
"journal-article","SAGE Publications","Journal of Feline Medicine and Surgery",8
"journal-article","SAGE Publications","J VET Diagn Invest",7
"journal-article","SAGE Publications","Vet Pathol",5
"journal-article","SAGE Publications","Antivir Chem Chemother",3
"journal-article","SAGE Publications","Can Assoc Radiol J",3
"journal-article","SAGE Publications","Exp Biol Med (Maywood)",2
"journal-article","SAGE Publications","Indoor and Built Environment",2
"journal-article","SAGE Publications","J R Soc Med",2
"journal-article","SAGE Publications","Environ Plan A",1
"journal-article","SAGE Publications","Integr Cancer Ther",1
"journal-article","SAGE Publications","J Dent Res",1
"journal-article","SAGE Publications","J Int Med Res",1
"journal-article","SAGE Publications","J Telemed Telecare",1
"journal-article","SAGE Publications","Journal of Feline Medicine and Surgery Open Reports",1
"journal-article","SAGE Publications","Public Health Rep",1
"journal-article","SAGE Publications","Stat Methods Med Res",1
"journal-article","American Medical Association (AMA)",JAMA,30
"journal-article","American Medical Association (AMA)","JAMA Intern Med",1
"journal-article","American Medical Association (AMA)","JAMA Otolaryngol Head Neck Surg",1
"journal-article","American Medical Association (AMA)","JAMA Pediatr",1
