"type.keyword: Descending","publisher.keyword: Descending","short-container-title.keyword: Descending",Count
"journal-article","Elsevier BV",Virology,120
"journal-article","Elsevier BV","SSRN Journal",83
"journal-article","Elsevier BV","Virus Research",75
"journal-article","Elsevier BV","The Lancet",73
"journal-article","Elsevier BV","Veterinary Microbiology",49
"journal-article","Elsevier BV","The Lancet Infectious Diseases",36
"journal-article","Elsevier BV","International Journal of Infectious Diseases",34
"journal-article","Elsevier BV","Journal of Infection",33
"journal-article","Elsevier BV","Journal of Virological Methods",33
"journal-article","Elsevier BV","Travel Medicine and Infectious Disease",31
"journal-article","Elsevier BV","Antiviral Research",25
"journal-article","Elsevier BV",Vaccine,21
"journal-article","Elsevier BV","Journal of Hospital Infection",20
"journal-article","Elsevier BV","The Lancet Respiratory Medicine",19
"journal-article","Elsevier BV","Biochemical and Biophysical Research Communications",16
"journal-article","Elsevier BV","Journal of Clinical Virology",16
"journal-article","Elsevier BV","Infection, Genetics and Evolution",13
"journal-article","Elsevier BV","Journal of Microbiology, Immunology and Infection",13
"journal-article","Elsevier BV","Journal of Neuroimmunology",12
"journal-article","Elsevier BV","International Journal of Antimicrobial Agents",11
"journal-article","Elsevier BV","Journal of Molecular Biology",11
"journal-article","Elsevier BV","New Scientist",10
"journal-article","Elsevier BV","Research in Veterinary Science",9
"journal-article","Elsevier BV","The Lancet Psychiatry",9
"journal-article","Elsevier BV","Journal of the American Academy of Dermatology",8
"journal-article","Elsevier BV","The Lancet Global Health",8
"journal-article","Elsevier BV","Microbes and Infection",7
"journal-article","Elsevier BV","Veterinary Immunology and Immunopathology",7
"journal-article","Elsevier BV","American Journal of Infection Control",6
"journal-article","Elsevier BV","Journal of Infection and Public Health",6
"journal-article","Elsevier BV","Psychiatry Research",6
"journal-article","Elsevier BV","Cell Host & Microbe",5
"journal-article","Elsevier BV","Clinical Microbiology and Infection",5
"journal-article","Elsevier BV",Gastroenterology,5
"journal-article","Elsevier BV","Preventive Veterinary Medicine",5
"journal-article","Elsevier BV",Structure,5
"journal-article","Elsevier BV","The Lancet Public Health",5
"journal-article","Elsevier BV","The Veterinary Journal",5
"journal-article","Elsevier BV",Chest,4
"journal-article","Elsevier BV","Current Opinion in Virology",4
"journal-article","Elsevier BV",Engineering,4
"journal-article","Elsevier BV","One Health",4
"journal-article","Elsevier BV","The Lancet Gastroenterology & Hepatology",4
"journal-article","Elsevier BV","Trends in Microbiology",4
"journal-article","Elsevier BV","Asian Journal of Psychiatry",3
"journal-article","Elsevier BV","Bioorganic & Medicinal Chemistry Letters",3
"journal-article","Elsevier BV","Brain, Behavior, and Immunity",3
"journal-article","Elsevier BV","British Journal of Anaesthesia",3
"journal-article","Elsevier BV",Cell,3
"journal-article","Elsevier BV","Comparative Immunology, Microbiology and Infectious Diseases",3
"journal-article","Elsevier BV","Diabetes & Metabolic Syndrome: Clinical Research & Reviews",3
"journal-article","Elsevier BV",Gene,3
"journal-article","Elsevier BV","Infectious Disease Modelling",3
"journal-article","Elsevier BV","International Journal of Surgery",3
"journal-article","Elsevier BV","Journal of Comparative Pathology",3
"journal-article","Elsevier BV","Journal of Pharmaceutical Analysis",3
"journal-article","Elsevier BV","Kidney International",3
"journal-article","Elsevier BV","Microbial Pathogenesis",3
"journal-article","Elsevier BV","Molecular and Cellular Probes",3
"journal-article","Elsevier BV","The Journal of Heart and Lung Transplantation",3
"journal-article","Elsevier BV","Academic Radiology",2
"journal-article","Elsevier BV","Advances in Small Animal Medicine and Surgery",2
"journal-article","Elsevier BV","American Journal of Obstetrics & Gynecology MFM",2
"journal-article","Elsevier BV","Anaesthesia Critical Care & Pain Medicine",2
"journal-article","Elsevier BV","Annals of Oncology",2
"journal-article","Elsevier BV","Bioorganic & Medicinal Chemistry",2
"journal-article","Elsevier BV","Biophysical Journal",2
"journal-article","Elsevier BV","British Veterinary Journal",2
"journal-article","Elsevier BV","Chemistry & Biology",2
"journal-article","Elsevier BV","Clinica Chimica Acta",2
"journal-article","Elsevier BV","Clinical Gastroenterology and Hepatology",2
"journal-article","Elsevier BV","Complementary Therapies in Clinical Practice",2
"journal-article","Elsevier BV","Current Biology",2
