"indexed.date-time",DOI,title,URL,author,"container-title",publisher,"short-container-title","created.date-time"
"[""2020-01-29T23:10:58.000Z"",""2020-01-29T23:10:58.000Z""]","10.35839/repis.4.1.613","[""La comunicación científica y el acceso abierto en la contención de enfermedades:  El caso del Coronavirus novel 2019 (2019-nCoV)""]","http://dx.doi.org/10.35839/repis.4.1.613","[{""given"":""Franz K."",""sequence"":""first"",""ORCID"":""http://orcid.org/0000-0002-0182-703X"",""authenticated-orcid"":false,""affiliation"":[],""family"":""Arteaga-Livias""},{""given"":""Alfonso J."",""sequence"":""first"",""ORCID"":""http://orcid.org/0000-0001-9773-2192"",""authenticated-orcid"":false,""affiliation"":[],""family"":""Rodriguez-Morales""}]","[""Revista Peruana de Investigación en Salud""]","Universidad Nacional Hermilio Valdizan","[""REPIS""]","2020-01-29T22:42:45.000Z"
"[""2020-01-30T00:41:27.000Z"",""2020-01-30T00:41:27.000Z""]","10.1136/bmj.m349","[""China coronavirus: partial border closures into Hong Kong are not enough, say doctors""]","http://dx.doi.org/10.1136/bmj.m349","[{""given"":""Jane"",""sequence"":""first"",""affiliation"":[],""family"":""Parry""}]","[""BMJ""]",BMJ,"[""BMJ""]","2020-01-29T17:35:10.000Z"
"[""2020-01-30T00:41:31.000Z"",""2020-01-30T00:41:31.000Z""]","10.1136/bmj.m343","[""Chinese premier rallies medics in coronavirus fight""]","http://dx.doi.org/10.1136/bmj.m343","[{""given"":""Tom"",""sequence"":""first"",""affiliation"":[],""family"":""Moberly""}]","[""BMJ""]",BMJ,"[""BMJ""]","2020-01-28T22:19:13.000Z"
"[""2020-01-30T04:10:55.000Z"",""2020-01-30T04:10:55.000Z""]","10.31525/ct1-nct04246242","[""A Randomized Multicenter Controlled Clinical Trial of Arbidol in Patients With 2019 Novel Coronavirus (2019-nCoV)""]","http://dx.doi.org/10.31525/ct1-nct04246242","[{""sequence"":""first"",""affiliation"":[],""name"":""Case Medical Research""}]","[""Case Medical Research""]","Case Journals","[""CMR""]","2020-01-30T03:28:26.000Z"
"[""2020-01-30T06:40:50.000Z"",""2020-01-30T06:40:50.000Z""]","10.1080/22221751.2020.1717999","[""Discovery of a subgenotype of human coronavirus NL63 associated with severe lower respiratory tract infection in China, 2018""]","http://dx.doi.org/10.1080/22221751.2020.1717999","[{""given"":""Yanqun"",""sequence"":""first"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Wang""},{""given"":""Xin"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Li""},{""given"":""Wenkuan"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Liu""},{""given"":""Mian"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Gan""},{""given"":""Lu"",""sequence"":""additional"",""affiliation"":[{""name"":""Institute of Infectious disease, Guangzhou Eighth People's Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Zhang""},{""given"":""Jin"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Wang""},{""given"":""Zhaoyong"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Zhang""},{""given"":""Airu"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Zhu""},{""given"":""Fang"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Li""},{""given"":""Jing"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Sun""},{""given"":""Guoxian"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Zhang""},{""given"":""Zhen"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Zhuang""},{""given"":""Jiaying"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Luo""},{""given"":""Dehui"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Chen""},{""given"":""Shuyan"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Qiu""},{""given"":""Li"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Zhang""},{""given"":""Duo"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Xu""},{""given"":""Chris Ka Pun"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""},{""name"":""The HKU–Pasteur Research Pole, School of Public Health, Li Ka Shing Faculty of Medicine, The University of Hong Kong, Hong Kong, People’s Republic of China""}],""family"":""Mok""},{""given"":""Fuchun"",""sequence"":""additional"",""affiliation"":[{""name"":""Institute of Infectious disease, Guangzhou Eighth People's Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Zhang""},{""given"":""Jingxian"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Zhao""},{""given"":""Rong"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Zhou""},{""given"":""Jincun"",""sequence"":""additional"",""affiliation"":[{""name"":""State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""},{""name"":""Institute of Infectious disease, Guangzhou Eighth People's Hospital of Guangzhou Medical University, Guangzhou, People’s Republic of China""}],""family"":""Zhao""}]","[""Emerging Microbes & Infections""]","Informa UK Limited","[""Emerging Microbes & Infections""]","2020-01-30T06:12:57.000Z"
"[""2020-01-30T09:11:22.000Z"",""2020-01-30T09:11:22.000Z""]","10.3389/fmicb.2019.03036","[""Comprehensive Genomic Characterization Analysis of lncRNAs in Cells With Porcine Delta Coronavirus Infection""]","http://dx.doi.org/10.3389/fmicb.2019.03036","[{""given"":""Junli"",""sequence"":""first"",""affiliation"":[],""family"":""Liu""},{""given"":""Fangfang"",""sequence"":""additional"",""affiliation"":[],""family"":""Wang""},{""given"":""Liuyang"",""sequence"":""additional"",""affiliation"":[],""family"":""Du""},{""given"":""Juan"",""sequence"":""additional"",""affiliation"":[],""family"":""Li""},{""given"":""Tianqi"",""sequence"":""additional"",""affiliation"":[],""family"":""Yu""},{""given"":""Yulan"",""sequence"":""additional"",""affiliation"":[],""family"":""Jin""},{""given"":""Yan"",""sequence"":""additional"",""affiliation"":[],""family"":""Yan""},{""given"":""Jiyong"",""sequence"":""additional"",""affiliation"":[],""family"":""Zhou""},{""given"":""Jinyan"",""sequence"":""additional"",""affiliation"":[],""family"":""Gu""}]","[""Frontiers in Microbiology""]","Frontiers Media SA","[""Front. Microbiol.""]","2020-01-30T08:42:18.000Z"
"[""2020-01-30T16:40:36.000Z"",""2020-01-30T16:40:36.000Z""]","10.1136/bmj.m344","[""Following the evidence, from coronavirus to terrorism response""]","http://dx.doi.org/10.1136/bmj.m344","[{""given"":""Tom"",""sequence"":""first"",""affiliation"":[],""family"":""Moberly""}]","[""BMJ""]",BMJ,"[""BMJ""]","2020-01-30T16:15:16.000Z"
"[""2020-01-22T07:10:16.000Z"",""2020-01-22T07:10:16.000Z""]","10.1080/22221751.2020.1713705","[""Polymorphisms in dipeptidyl peptidase 4 reduce host cell entry of Middle East respiratory syndrome coronavirus""]","http://dx.doi.org/10.1080/22221751.2020.1713705","[{""given"":""Hannah"",""sequence"":""first"",""affiliation"":[{""name"":""Infection Biology Unit, German Primate Center, Göttingen, Germany""},{""name"":""Faculty of Biology and Psychology, University Göttingen, Göttingen, Germany""}],""family"":""Kleine-Weber""},{""given"":""Simon"",""sequence"":""additional"",""affiliation"":[{""name"":""Charité-Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Institute of Virology, Berlin, Germany""}],""family"":""Schroeder""},{""given"":""Nadine"",""sequence"":""additional"",""ORCID"":""http://orcid.org/0000-0002-4413-8699"",""authenticated-orcid"":false,""affiliation"":[{""name"":""Institute of Virology, University of Veterinary Medicine Hannover, Hannover, Germany""},{""name"":""Research Center for Emerging Infections and Zoonoses, University of Veterinary Medicine Hannover, Hannover, Germany""}],""family"":""Krüger""},{""given"":""Alexander"",""sequence"":""additional"",""affiliation"":[{""name"":""Department of Physiological Chemistry, University of Veterinary Medicine Hannover, Hannover, Germany""}],""family"":""Prokscha""},{""given"":""Hassan Y."",""sequence"":""additional"",""ORCID"":""http://orcid.org/0000-0003-4884-8425"",""authenticated-orcid"":false,""affiliation"":[{""name"":""Department of Physiological Chemistry, University of Veterinary Medicine Hannover, Hannover, Germany""}],""family"":""Naim""},{""given"":""Marcel A."",""sequence"":""additional"",""ORCID"":""http://orcid.org/0000-0003-2242-5117"",""authenticated-orcid"":false,""affiliation"":[{""name"":""Charité-Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Institute of Virology, Berlin, Germany""},{""name"":""German Centre for Infection Research, associated partner Charité, Berlin, Germany""},{""name"":""Martsinovsky Institute of Medical Parasitology, Tropical and Vector Borne Diseases, Sechenov University, Moscow, Russia""}],""family"":""Müller""},{""given"":""Christian"",""sequence"":""additional"",""affiliation"":[{""name"":""Charité-Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Institute of Virology, Berlin, Germany""},{""name"":""German Centre for Infection Research, associated partner Charité, Berlin, Germany""}],""family"":""Drosten""},{""given"":""Stefan"",""sequence"":""additional"",""ORCID"":""http://orcid.org/0000-0001-6086-9136"",""authenticated-orcid"":false,""affiliation"":[{""name"":""Infection Biology Unit, German Primate Center, Göttingen, Germany""},{""name"":""Faculty of Biology and Psychology, University Göttingen, Göttingen, Germany""}],""family"":""Pöhlmann""},{""given"":""Markus"",""sequence"":""additional"",""ORCID"":""http://orcid.org/0000-0003-4603-7696"",""authenticated-orcid"":false,""affiliation"":[{""name"":""Infection Biology Unit, German Primate Center, Göttingen, Germany""}],""family"":""Hoffmann""}]","[""Emerging Microbes & Infections""]","Informa UK Limited","[""Emerging Microbes & Infections""]","2020-01-22T06:35:51.000Z"
"[""2020-01-23T09:40:27.000Z"",""2020-01-23T09:40:27.000Z""]","10.1016/j.jviromet.2019.113806","[""Analysis of preferred codon usage in the coronavirus N genes and their implications for genome evolution and vaccine design""]","http://dx.doi.org/10.1016/j.jviromet.2019.113806","[{""given"":""Abdullah"",""sequence"":""first"",""affiliation"":[],""family"":""Sheikh""},{""given"":""Abdulla"",""sequence"":""additional"",""affiliation"":[],""family"":""Al-Taher""},{""given"":""Mohammed"",""sequence"":""additional"",""affiliation"":[],""family"":""Al-Nazawi""},{""given"":""Abdullah I."",""sequence"":""additional"",""affiliation"":[],""family"":""Al-Mubarak""},{""given"":""Mahmoud"",""sequence"":""additional"",""ORCID"":""http://orcid.org/0000-0003-3668-5147"",""authenticated-orcid"":false,""affiliation"":[],""family"":""Kandeel""}]","[""Journal of Virological Methods""]","Elsevier BV","[""Journal of Virological Methods""]","2020-01-06T13:55:07.000Z"
"[""2020-01-24T00:40:46.000Z"",""2020-01-24T00:40:46.000Z""]","10.1136/bmj.m265","[""Coronavirus: UK screens direct flights from Wuhan after US case""]","http://dx.doi.org/10.1136/bmj.m265","[{""given"":""Elisabeth"",""sequence"":""first"",""affiliation"":[],""family"":""Mahase""}]","[""BMJ""]",BMJ,"[""BMJ""]","2020-01-22T20:05:11.000Z"
